,Return,Risk,Alpha,Beta,Sharpe
BAJFINANCE.NS,0.40158045064244113,0.3542526466250921,0.26015300352823945,1.294476174652292,0.9642283661014902
BAJAJFINSV.NS,0.31614826500467574,0.3225685519090184,0.1805758327798921,1.2013972738001468,0.7940893911968309
TITAN.NS,0.29302253334706657,0.29565410792672375,0.1778802654560019,0.8766129177691965,0.7881592952695247
ADANIENT.NS,0.46859463978677224,0.5194224450082784,0.3115807470163747,1.54225850437658,0.7866326218926873
BRITANNIA.NS,0.2525964878178473,0.2470178638106383,0.15381824664727134,0.6164691522236894,0.7796864763007184
EICHERMOT.NS,0.2727719267832957,0.31450776333193037,0.15039026096091943,0.9916997646866353,0.6765236079681027
JSWSTEEL.NS,0.27094102169105044,0.33465481405207637,0.13134222330289919,1.2654056058014638,0.630324181316649
POWERGRID.NS,0.2103800692395701,0.24872951290616666,0.10912513035438928,0.6558419472331568,0.6045927862862862
DIVISLAB.NS,0.24425532627543173,0.30639646516296815,0.1434111418974846,0.6493120615239891,0.6013624412325671
MARUTI.NS,0.2114746741358308,0.2730878595004873,0.0875848213743921,1.01567585786809,0.5546737757324598
ADANIPORTS.NS,0.2613789118702064,0.3773673616006056,0.11848251997398529,1.3178284236738913,0.5336415714810542
RELIANCE.NS,0.19934745217553515,0.26858606957986597,0.07046012131231458,1.0951222431517929,0.518818613316426
BAJAJ-AUTO.NS,0.1882216661500057,0.25244992586245785,0.07774700647100591,0.8024105715424347,0.5079093040410108
GRASIM.NS,0.20193419791280878,0.28305970019266147,0.07330326145330093,1.0910462655952964,0.5014284895243047
ULTRACEMCO.NS,0.1943126763232281,0.26833698999859684,0.06905260078024963,1.0374586940926052,0.5005373143819286
ICICIBANK.NS,0.21016706356257767,0.3013241245838059,0.06613345760797504,1.335907051412151,0.49835725489949073
LT.NS,0.19229328806537974,0.27006227916962117,0.06030368404483244,1.1444399957247133,0.48986214762072994
HCLTECH.NS,0.19096151243650142,0.26845515568374256,0.08560842058276072,0.7209914952773334,0.4878338510689007
BHARTIARTL.NS,0.19977585505741205,0.2888890006231359,0.08917408641921143,0.804431260205798,0.4838393111399687
SBIN.NS,0.21230970572208677,0.3260363402060511,0.06902664022320579,1.323975488131262,0.467155611015106
NESTLEIND.NS,0.16617317209652002,0.22758750154018467,0.07401582788587902,0.5112147979094323,0.46651582963914756
HDFCBANK.NS,0.16240212196527204,0.22105819425299705,0.039280476147707605,1.0034634452076143,0.46323603751179965
TATASTEEL.NS,0.22493071441126775,0.3605147720716088,0.0804037440632358,1.3437502108792572,0.45748670287082627
KOTAKBANK.NS,0.17179662875641186,0.26146046994832284,0.047861455196915356,1.016396335979356,0.4275852054366316
ASIANPAINT.NS,0.16572835487098994,0.2502897861410317,0.058066615675543304,0.7576927438786968,0.42242376926805475
NTPC.NS,0.17190205690485058,0.26532219618275327,0.061867302097105295,0.7954172738874827,0.4217591234913973
HINDUNILVR.NS,0.15208608822502562,0.22232795969082653,0.056291539505676835,0.5690365121559414,0.41419031755197266
AXISBANK.NS,0.18986494332404638,0.32402935792674836,0.045150561183590315,1.346729551491541,0.4007814111504189
UPL.NS,0.19904298282397254,0.3488582166661417,0.07264930207220108,1.0554799508831587,0.3985658820157218
TECHM.NS,0.16956861082799551,0.2886538190748282,0.05907040526538679,0.8027848874079452,0.3795848299502037
COALINDIA.NS,0.16874183811104967,0.2926559172359307,0.05839983056791026,0.8003017613626533,0.371568902956386
INFY.NS,0.15581802452744462,0.2648878687501043,0.04574932439403184,0.7959569127546543,0.3617305125356251
HEROMOTOCO.NS,0.14430504691635276,0.27630747481754964,0.02788220710115516,0.8969705478370267,0.30511316051808146
CIPLA.NS,0.13344460120036353,0.25988208349217773,0.03951822368627679,0.5393376427809564,0.2826074049178314
SUNPHARMA.NS,0.13951933776080294,0.28305951874559243,0.03816238719095702,0.657463657111276,0.28092797625460936
TCS.NS,0.12302426122287563,0.2365129044305066,0.02104618367580055,0.6673378961050306,0.2664728225913514
ONGC.NS,0.1409935361290825,0.33306749808730707,0.019948808566497334,0.9704460623342396,0.24317454147943202
DRREDDY.NS,0.11328009216160198,0.262816156690203,0.021362973301054577,0.5073958645735074,0.2027276132205464
INDUSINDBK.NS,0.13677362477366617,0.39390253435179057,-0.009927989678025273,1.3783211704303684,0.1949051302754513
WIPRO.NS,0.10170200066358163,0.25672908239927644,-0.003192647902437812,0.71370348694088,0.16243582641223653
ITC.NS,0.09579606523487837,0.2435178331046442,-0.008988346296540647,0.7119510162456555,0.1469956626112722
